Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
STRINGTOWN,Oklahoma,OK ,STRINGTOWN,4029010,17721,1-Regular local school district that is NOT a component of a supervisory union
STRONG-HUTTIG SCHOOL DISTRICT,Arkansas,AR ,STRONG-HUTTIG SCHOOL DISTRICT,0512930,17647,1-Regular local school district that is NOT a component of a supervisory union
STRONGSVILLE CITY,Ohio,OH ,Strongsville City,3904484,14943,1-Regular local school district that is NOT a component of a supervisory union
STROTHER,Oklahoma,OK ,STROTHER,4029040,12549,1-Regular local school district that is NOT a component of a supervisory union
STROUD,Oklahoma,OK ,STROUD,4029070,24595,1-Regular local school district that is NOT a component of a supervisory union
STROUDSBURG AREA SD,Pennsylvania,PA ,Stroudsburg Area SD,4222860,24533,1-Regular local school district that is NOT a component of a supervisory union
STRUTHERS CITY,Ohio,OH ,Struthers City,3904485,13242,1-Regular local school district that is NOT a component of a supervisory union
STRYKER LOCAL,Ohio,OH ,Stryker Local,3905065,19846,1-Regular local school district that is NOT a component of a supervisory union
STUART,Oklahoma,OK ,STUART,4029100,18554,1-Regular local school district that is NOT a component of a supervisory union
STUART PUBLIC SCHOOLS,Nebraska,NE ,STUART PUBLIC SCHOOLS,3100082,21289,1-Regular local school district that is NOT a component of a supervisory union
STURBRIDGE,Massachusetts,MA ,Sturbridge,2511310,23343,1-Regular local school district that is NOT a component of a supervisory union
STURGEON BAY SCHOOL DISTRICT,Wisconsin,WI ,Sturgeon Bay School District,5514610,28320,1-Regular local school district that is NOT a component of a supervisory union
STURGEON R-V,Missouri,MO ,STURGEON R-V,2929700,15928,1-Regular local school district that is NOT a component of a supervisory union
STURGIS PUBLIC SCHOOLS,Michigan,MI ,Sturgis Public Schools,2633090,13726,1-Regular local school district that is NOT a component of a supervisory union
STUTTGART SCHOOL DISTRICT,Arkansas,AR ,STUTTGART SCHOOL DISTRICT,0512960,12989,1-Regular local school district that is NOT a component of a supervisory union
SUBLETTE,Kansas,KS ,Sublette,2012090,20056,1-Regular local school district that is NOT a component of a supervisory union
SUBLETTE COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,Sublette County School District #1,5604860,22678,1-Regular local school district that is NOT a component of a supervisory union
SUBLETTE COUNTY SCHOOL DISTRICT #9,Wyoming,WY ,Sublette County School District #9,5601260,25248,1-Regular local school district that is NOT a component of a supervisory union
SUCCESS R-VI,Missouri,MO ,SUCCESS R-VI,2929730,17655,1-Regular local school district that is NOT a component of a supervisory union
SUDAN ISD,Texas,TX ,SUDAN ISD,4841760,17807,1-Regular local school district that is NOT a component of a supervisory union
SUDBURY,Massachusetts,MA ,Sudbury,2511340,23531,1-Regular local school district that is NOT a component of a supervisory union
SUFFERN CENTRAL SCHOOL DISTRICT,New York,NY ,SUFFERN CENTRAL SCHOOL DISTRICT,3628320,35861,1-Regular local school district that is NOT a component of a supervisory union
SUFFIELD SCHOOL DISTRICT,Connecticut,CT ,Suffield School District,0904470,23741,1-Regular local school district that is NOT a component of a supervisory union
SUFFOLK CITY PUBLIC SCHOOLS,Virginia,VA ,SUFFOLK CITY PBLC SCHS,5103710,14809,1-Regular local school district that is NOT a component of a supervisory union
SUGAR-SALEM JOINT DISTRICT,Idaho,ID ,SUGAR-SALEM JOINT DISTRICT,1603090,8722,1-Regular local school district that is NOT a component of a supervisory union
SULLIVAN,Missouri,MO ,SULLIVAN,2929760,11734,1-Regular local school district that is NOT a component of a supervisory union
SULLIVAN COUNTY,Tennessee,TN ,Sullivan County,4703990,11930,1-Regular local school district that is NOT a component of a supervisory union
SULLIVAN COUNTY SD,Pennsylvania,PA ,Sullivan County SD,4222920,27856,1-Regular local school district that is NOT a component of a supervisory union
SULLIVAN CUSD 300,Illinois,IL ,Sullivan CUSD 300,1738130,12217,1-Regular local school district that is NOT a component of a supervisory union
SULLIVAN SCHOOL DISTRICT,New Hampshire,NH ,Sullivan School District,3303293,–,2-Local school district that is a component of a supervisory union
SULLIVAN WEST CENTRAL SCHOOL DISTRICT,New York,NY ,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,3600023,34192,1-Regular local school district that is NOT a component of a supervisory union
SULPHUR,Oklahoma,OK ,SULPHUR,4029160,10978,1-Regular local school district that is NOT a component of a supervisory union
SULPHUR BLUFF ISD,Texas,TX ,SULPHUR BLUFF ISD,4841790,16571,1-Regular local school district that is NOT a component of a supervisory union
SULPHUR SPRINGS ISD,Texas,TX ,SULPHUR SPRINGS ISD,4841820,12407,1-Regular local school district that is NOT a component of a supervisory union
SULPHUR SPRINGS UNION,California,CA ,Sulphur Springs Union,0638220,17581,1-Regular local school district that is NOT a component of a supervisory union
SULTAN SCHOOL DISTRICT,Washington,WA ,Sultan School District,5308550,19240,1-Regular local school district that is NOT a component of a supervisory union
SUMMERFIELD SCHOOLS,Michigan,MI ,Summerfield Schools,2633120,13788,1-Regular local school district that is NOT a component of a supervisory union
SUMMERLAND PUBLIC SCHOOLS,NEBRASKA,NE ,SUMMERLAND PUBLIC SCHOOLS,3100189,34601,1-Regular local school district that is NOT a component of a supervisory union
SUMMERS COUNTY SCHOOLS,West Virginia,WV ,SUMMERS COUNTY SCHOOLS,5401350,14732,1-Regular local school district that is NOT a component of a supervisory union
SUMMERSVILLE R-II,Missouri,MO ,SUMMERSVILLE R-II,2929810,15080,1-Regular local school district that is NOT a component of a supervisory union
SUMMERSVILLE SD 79,Illinois,IL ,Summersville SD 79,1738190,12871,1-Regular local school district that is NOT a component of a supervisory union
SUMMERVILLE ELEMENTARY,California,CA ,Summerville Elementary,0638250,13873,1-Regular local school district that is NOT a component of a supervisory union
SUMMERVILLE UNION HIGH,California,CA ,Summerville Union High,0638280,18536,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT HILL SD 161,Illinois,IL ,Summit Hill SD 161,1738220,19712,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Summit Public School District,3415900,25692,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT SCHOOL DISTRICT 54-6,South Dakota,SD ,Summit School District 54-6,4670140,14085,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT SCHOOL DISTRICT NO. RE 1,Colorado,CO ,Summit School District No. Re 1,0806810,16437,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT SD 104,Illinois,IL ,Summit SD 104,1704050,25589,1-Regular local school district that is NOT a component of a supervisory union
SUMMIT VALLEY SCHOOL DISTRICT,Washington,WA ,Summit Valley School District,5308580,17405,1-Regular local school district that is NOT a component of a supervisory union
SUMNER COUNTY,Tennessee,TN ,Sumner County,4704020,11062,1-Regular local school district that is NOT a component of a supervisory union
SUMNER-BONNEY LAKE SCHOOL DISTRICT,Washington,WA ,Sumner School District,5308610,19617,1-Regular local school district that is NOT a component of a supervisory union
SUMNER-EDDYVILLE-MILLER SCHS,Nebraska,NE ,SUMNER-EDDYVILLE-MILLER SCHS,3177340,21507,1-Regular local school district that is NOT a component of a supervisory union
SUMNER-FREDERICKSBURG COMM SCHOOL DISTRICT,Iowa,IA ,Sumner-Fredericksburg Comm School District,1927600,13723,1-Regular local school district that is NOT a component of a supervisory union
SUMTER,Florida,FL ,SUMTER,1201800,11984,1-Regular local school district that is NOT a component of a supervisory union
SUMTER 01,South Carolina,SC ,Sumter 01,4503902,13072,1-Regular local school district that is NOT a component of a supervisory union
SUMTER COUNTY,Georgia,GA ,Sumter County,1304620,17405,1-Regular local school district that is NOT a component of a supervisory union
SUMTER COUNTY,Alabama,AL ,Sumter County,0103090,17025,1-Regular local school district that is NOT a component of a supervisory union
SUN AREA TECHNICAL INSTITUTE,Pennsylvania,PA ,SUN Area Technical Institute,4280420,–,9-Specialized public school district
SUN PRAIRIE AREA SCHOOL DISTRICT,Wisconsin,WI ,Sun Prairie Area School District,5514640,23138,1-Regular local school district that is NOT a component of a supervisory union
SUN RIVER VALLEY ELEM,Montana,MT ,Sun River Valley Elem,3024300,17699,1-Regular local school district that is NOT a component of a supervisory union
SUNAPEE SCHOOL DISTRICT,New Hampshire,NH ,Sunapee School District,3306540,33431,2-Local school district that is a component of a supervisory union
SUNBURST K-12 SCHOOLS,Montana,MT ,Sunburst K-12 Schools,3025320,24586,1-Regular local school district that is NOT a component of a supervisory union
SUNDALE UNION ELEMENTARY,California,CA ,Sundale Union Elementary,0638340,13547,1-Regular local school district that is NOT a component of a supervisory union
SUNDERLAND,Massachusetts,MA ,Sunderland,2511370,28468,1-Regular local school district that is NOT a component of a supervisory union
SUNDOWN ISD,Texas,TX ,SUNDOWN ISD,4841850,21887,1-Regular local school district that is NOT a component of a supervisory union
SUNFLOWER CTY CONS SCHOOL DISTRICT,MISSISSIPPI,MS ,SUNFLOWER CTY CONS SCHOOL DISTRICT,2800187,14264,1-Regular local school district that is NOT a component of a supervisory union
SUNMAN-DEARBORN COM SCH CORP,Indiana,IN ,Sunman-Dearborn Com Sch Corp,1811190,13446,1-Regular local school district that is NOT a component of a supervisory union
SUNNYBROOK SD 171,Illinois,IL ,Sunnybrook SD 171,1738370,19067,1-Regular local school district that is NOT a component of a supervisory union
SUNNYSIDE SCHOOL DISTRICT,Washington,WA ,Sunnyside School District,5308670,18380,1-Regular local school district that is NOT a component of a supervisory union
SUNNYSIDE UNIFIED DISTRICT (4407),Arizona,AZ ,Sunnyside Unified District (4407),0408170,11046,1-Regular local school district that is NOT a component of a supervisory union
SUNNYSIDE UNION ELEMENTARY,California,CA ,Sunnyside Union Elementary,0638430,19064,1-Regular local school district that is NOT a component of a supervisory union
SUNNYVALE,California,CA ,Sunnyvale,0638460,26000,1-Regular local school district that is NOT a component of a supervisory union
SUNNYVALE ISD,Texas,TX ,SUNNYVALE ISD,4841880,13098,1-Regular local school district that is NOT a component of a supervisory union
SUNOL GLEN UNIFIED,California,CA ,Sunol Glen Unified,0600021,16336,1-Regular local school district that is NOT a component of a supervisory union
SUNRAY COLLEGIATE ISD,Texas,TX ,SUNRAY COLLEGIATE ISD,4841910,31885,1-Regular local school district that is NOT a component of a supervisory union
SUNRISE R-IX,Missouri,MO ,SUNRISE R-IX,2929820,13710,1-Regular local school district that is NOT a component of a supervisory union
SUNSET ELEM,Montana,MT ,Sunset Elem,3025380,22615,1-Regular local school district that is NOT a component of a supervisory union
SUNSET RIDGE SD 29,Illinois,IL ,Sunset Ridge SD 29,1738400,36270,1-Regular local school district that is NOT a component of a supervisory union
SUNTEX SD 10,Oregon,OR ,Suntex SD 10,4111910,48750,1-Regular local school district that is NOT a component of a supervisory union
SUPERIOR CENTRAL SCHOOL DISTRICT,Michigan,MI ,Superior Central School District,2600019,13612,1-Regular local school district that is NOT a component of a supervisory union
SUPERIOR K-12 SCHOOLS,Montana,MT ,Superior K-12 Schools,3025470,14226,1-Regular local school district that is NOT a component of a supervisory union
SUPERIOR PUBLIC SCHOOLS,Nebraska,NE ,SUPERIOR PUBLIC SCHOOLS,3100029,21776,1-Regular local school district that is NOT a component of a supervisory union
SUPERIOR SCHOOL DISTRICT,Wisconsin,WI ,Superior School District,5514670,16287,1-Regular local school district that is NOT a component of a supervisory union
SUPERIOR UNIFIED SCHOOL DISTRICT (4440),Arizona,AZ ,Superior Unified School District (4440),0408230,15543,1-Regular local school district that is NOT a component of a supervisory union
SUQUAMISH TRIBAL EDUCATION DEPARTMENT,WASHINGTON,WA ,Suquamish Tribal Education Department,5300328,26810,1-Regular local school district that is NOT a component of a supervisory union
SURING PUBLIC SCHOOL DISTRICT,Wisconsin,WI ,Suring Public School District,5514700,21962,1-Regular local school district that is NOT a component of a supervisory union
SURPRISE VALLEY JOINT UNIFIED,California,CA ,Surprise Valley Joint Unified,0638520,17817,1-Regular local school district that is NOT a component of a supervisory union
SURREY 41,North Dakota,ND ,SURREY 41,3817910,13467,1-Regular local school district that is NOT a component of a supervisory union
SURRY COUNTY PUBLIC SCHOOLS,Virginia,VA ,SURRY CO PBLC SCHS,5103750,27629,1-Regular local school district that is NOT a component of a supervisory union
SURRY COUNTY SCHOOLS,North Carolina,NC ,Surry County Schools,3704410,13317,1-Regular local school district that is NOT a component of a supervisory union
SURRY PUBLIC SCHOOLS,Maine,ME ,Surry Public Schools,2312750,15097,1-Regular local school district that is NOT a component of a supervisory union
SURRY SCHOOL DISTRICT,New Hampshire,NH ,Surry School District,3303275,–,2-Local school district that is a component of a supervisory union
SUSANVILLE ELEMENTARY,California,CA ,Susanville Elementary,0638550,12728,1-Regular local school district that is NOT a component of a supervisory union
SUSQUEHANNA COMMUNITY SD,Pennsylvania,PA ,Susquehanna Community SD,4222980,23397,1-Regular local school district that is NOT a component of a supervisory union
SUSQUEHANNA COUNTY CTC,Pennsylvania,PA ,Susquehanna County CTC,4200003,–,9-Specialized public school district
SUSQUEHANNA TOWNSHIP SD,Pennsylvania,PA ,Susquehanna Township SD,4223010,19385,1-Regular local school district that is NOT a component of a supervisory union
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,New York,NY ,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,3628380,28698,1-Regular local school district that is NOT a component of a supervisory union
SUSQUENITA SD,Pennsylvania,PA ,Susquenita SD,4223040,19324,1-Regular local school district that is NOT a component of a supervisory union
SUSSEX COUNTY PUBLIC SCHOOLS,Virginia,VA ,SUSSEX CO PBLC SCHS,5103780,23400,1-Regular local school district that is NOT a component of a supervisory union
SUSSEX COUNTY TECHNICAL SCHOOL DISTRICT,New Jersey,NJ ,Sussex County Technical School District,3415930,28482,9-Specialized public school district
SUSSEX TECHNICAL SCHOOL DISTRICT,Delaware,DE ,Sussex Technical School District,1001680,22088,1-Regular local school district that is NOT a component of a supervisory union
SUSSEX-WANTAGE REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,Sussex-Wantage Regional School District,3415960,30532,1-Regular local school district that is NOT a component of a supervisory union
SUTHERLAND PUBLIC SCHOOLS,Nebraska,NE ,SUTHERLAND PUBLIC SCHOOLS,3100024,16686,1-Regular local school district that is NOT a component of a supervisory union
SUTHERLIN SD 130,Oregon,OR ,Sutherlin SD 130,4111940,14852,1-Regular local school district that is NOT a component of a supervisory union
SUTTER COUNTY OFFICE OF EDUCATION,California,CA ,Sutter County Office of Education,0691042,150346,1-Regular local school district that is NOT a component of a supervisory union
SUTTER UNION HIGH,California,CA ,Sutter Union High,0638610,15123,1-Regular local school district that is NOT a component of a supervisory union
SUTTON,Massachusetts,MA ,Sutton,2511400,24109,1-Regular local school district that is NOT a component of a supervisory union
SUTTON PUBLIC SCHOOLS,Nebraska,NE ,SUTTON PUBLIC SCHOOLS,3177520,16803,1-Regular local school district that is NOT a component of a supervisory union
SUTTONS BAY PUBLIC SCHOOLS,Michigan,MI ,Suttons Bay Public Schools,2633360,16281,1-Regular local school district that is NOT a component of a supervisory union
SUWANNEE,Florida,FL ,SUWANNEE,1201830,11415,1-Regular local school district that is NOT a component of a supervisory union
SWAIN COUNTY SCHOOLS,North Carolina,NC ,Swain County Schools,3704440,15228,1-Regular local school district that is NOT a component of a supervisory union
SWALLOW SCHOOL DISTRICT,Wisconsin,WI ,Swallow School District,5509240,14482,1-Regular local school district that is NOT a component of a supervisory union
SWAMPSCOTT,Massachusetts,MA ,Swampscott,2511430,25191,1-Regular local school district that is NOT a component of a supervisory union
SWAN LAKE-SALMON ELEM,Montana,MT ,Swan Lake-Salmon Elem,3015930,209000,1-Regular local school district that is NOT a component of a supervisory union
SWAN RIVER ELEM,Montana,MT ,Swan River Elem,3025500,10257,1-Regular local school district that is NOT a component of a supervisory union
SWAN VALLEY ELEM,Montana,MT ,Swan Valley Elem,3025530,20382,1-Regular local school district that is NOT a component of a supervisory union
SWAN VALLEY ELEMENTARY DISTRICT,Idaho,ID ,SWAN VALLEY ELEMENTARY DISTRICT,1603120,20720,1-Regular local school district that is NOT a component of a supervisory union
SWAN VALLEY SCHOOL DISTRICT,Michigan,MI ,Swan Valley School District,2633410,13529,1-Regular local school district that is NOT a component of a supervisory union
SWANSEA,Massachusetts,MA ,Swansea,2511460,17903,1-Regular local school district that is NOT a component of a supervisory union
SWANTON LOCAL,Ohio,OH ,Swanton Local,3904709,14531,1-Regular local school district that is NOT a component of a supervisory union
SWANVILLE PUBLIC SCHOOL DISTRICT,Minnesota,MN ,SWANVILLE PUBLIC SCHOOL DISTRICT,2738280,14477,1-Regular local school district that is NOT a component of a supervisory union
SWARTZ CREEK COMMUNITY SCHOOLS,Michigan,MI ,Swartz Creek Community Schools,2633420,17160,1-Regular local school district that is NOT a component of a supervisory union
SWEDEBORG R-III,Missouri,MO ,SWEDEBORG R-III,2929850,22245,1-Regular local school district that is NOT a component of a supervisory union
SWEDESBORO-WOOLWICH SCHOOL DISTRICT,New Jersey,NJ ,Swedesboro-Woolwich School District,3415990,22454,1-Regular local school district that is NOT a component of a supervisory union
SWEENY ISD,Texas,TX ,SWEENY ISD,4841970,16625,1-Regular local school district that is NOT a component of a supervisory union
SWEET BRIAR 17,North Dakota,ND ,SWEET BRIAR 17,3817940,12333,1-Regular local school district that is NOT a component of a supervisory union
SWEET GRASS COUNTY H S,Montana,MT ,Sweet Grass County H S,3025560,24311,1-Regular local school district that is NOT a component of a supervisory union
SWEET HOME CENTRAL SCHOOL DISTRICT,New York,NY ,SWEET HOME CENTRAL SCHOOL DISTRICT,3628500,29107,1-Regular local school district that is NOT a component of a supervisory union
SWEET HOME ISD,Texas,TX ,SWEET HOME ISD,4842000,16324,1-Regular local school district that is NOT a component of a supervisory union
SWEET HOME SD 55,Oregon,OR ,Sweet Home SD 55,4111970,15150,1-Regular local school district that is NOT a component of a supervisory union
SWEET SPRINGS R-VII,Missouri,MO ,SWEET SPRINGS R-VII,2929880,13593,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER,Oklahoma,OK ,SWEETWATER,4029310,31240,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER,Tennessee,TN ,Sweetwater,4704050,10608,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,Sweetwater County School District #1,5605302,18425,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER COUNTY SCHOOL DISTRICT #2,Wyoming,WY ,Sweetwater County School District #2,5605762,19805,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER ISD,Texas,TX ,SWEETWATER ISD,4842030,12818,1-Regular local school district that is NOT a component of a supervisory union
SWEETWATER UNION HIGH,California,CA ,Sweetwater Union High,0638640,16144,1-Regular local school district that is NOT a component of a supervisory union
SWINK SCHOOL DISTRICT NO. 33 IN THE COUNTY OF OTERO AND ST,Colorado,CO ,Swink School District No. 33 in the county of Otero and St,0806840,17322,1-Regular local school district that is NOT a component of a supervisory union
SWITZERLAND COUNTY SCHOOL CORP,Indiana,IN ,Switzerland County School Corp,1811220,12366,1-Regular local school district that is NOT a component of a supervisory union
SWITZERLAND OF OHIO LOCAL,Ohio,OH ,Switzerland of Ohio Local,3904865,26955,1-Regular local school district that is NOT a component of a supervisory union
SYCAMORE COMMUNITY CITY,Ohio,OH ,Sycamore Community City,3904486,29139,1-Regular local school district that is NOT a component of a supervisory union
SYCAMORE CUSD 427,Illinois,IL ,Sycamore CUSD 427,1738460,21442,1-Regular local school district that is NOT a component of a supervisory union
SYLACAUGA CITY,Alabama,AL ,Sylacauga City,0103120,12716,1-Regular local school district that is NOT a component of a supervisory union
SYLVAN GROVE,Kansas,KS ,Sylvan Grove,2012120,15854,1-Regular local school district that is NOT a component of a supervisory union
SYLVAN UNION ELEMENTARY,California,CA ,Sylvan Union Elementary,0638670,14400,1-Regular local school district that is NOT a component of a supervisory union
SYLVANIA SCHOOLS,Ohio,OH ,Sylvania Schools,3904487,13718,1-Regular local school district that is NOT a component of a supervisory union
SYMMES VALLEY LOCAL,Ohio,OH ,Symmes Valley Local,3904796,17424,1-Regular local school district that is NOT a component of a supervisory union
SYOSSET CENTRAL SCHOOL DISTRICT,New York,NY ,SYOSSET CENTRAL SCHOOL DISTRICT,3628560,38704,1-Regular local school district that is NOT a component of a supervisory union
SYRACUSE,Kansas,KS ,Syracuse,2012150,28266,1-Regular local school district that is NOT a component of a supervisory union
SYRACUSE CITY SCHOOL DISTRICT,New York,NY ,SYRACUSE CITY SCHOOL DISTRICT,3628590,29153,1-Regular local school district that is NOT a component of a supervisory union
SYRACUSE-DUNBAR-AVOCA SCHOOLS,Nebraska,NE ,SYRACUSE-DUNBAR-AVOCA SCHOOLS,3177550,14006,1-Regular local school district that is NOT a component of a supervisory union
T OR C MUNICIPAL SCHOOLS,New Mexico,NM ,T OR C MUNICIPAL SCHOOLS,3502610,15636,1-Regular local school district that is NOT a component of a supervisory union
TABERNACLE TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Tabernacle Township School District,3416020,24635,1-Regular local school district that is NOT a component of a supervisory union
TACOMA SCHOOL DISTRICT,Washington,WA ,Tacoma School District,5308700,23190,1-Regular local school district that is NOT a component of a supervisory union
TACONIC AND GREEN REGIONAL SCHOOL DISTRICT #63,VERMONT,VT ,Taconic and Green Regional School District,5000417,20647,2-Local school district that is a component of a supervisory union
TACONIC HILLS CENTRAL SCHOOL DISTRICT,New York,NY ,TACONIC HILLS CENTRAL SCHOOL DISTRICT,3628620,34311,1-Regular local school district that is NOT a component of a supervisory union
TAFT CITY,California,CA ,Taft City,0638700,14798,1-Regular local school district that is NOT a component of a supervisory union
TAFT ISD,Texas,TX ,TAFT ISD,4842060,20278,1-Regular local school district that is NOT a component of a supervisory union
TAFT SD 90,Illinois,IL ,Taft SD 90,1738520,16787,1-Regular local school district that is NOT a component of a supervisory union
TAFT UNION HIGH,California,CA ,Taft Union High,0638730,24939,1-Regular local school district that is NOT a component of a supervisory union
TAHLEQUAH,Oklahoma,OK ,TAHLEQUAH,4029380,14176,1-Regular local school district that is NOT a component of a supervisory union
TAHOE-TRUCKEE UNIFIED,California,CA ,Tahoe-Truckee Unified,0638770,25703,1-Regular local school district that is NOT a component of a supervisory union
TAHOKA ISD,Texas,TX ,TAHOKA ISD,4842090,19313,1-Regular local school district that is NOT a component of a supervisory union
TAHOLAH SCHOOL DISTRICT,Washington,WA ,Taholah School District,5308730,38089,1-Regular local school district that is NOT a component of a supervisory union
TAHOMA SCHOOL DISTRICT,Washington,WA ,Tahoma School District,5308760,19426,1-Regular local school district that is NOT a component of a supervisory union
TAHQUAMENON AREA SCHOOLS,Michigan,MI ,Tahquamenon Area Schools,2625350,16785,1-Regular local school district that is NOT a component of a supervisory union
TALAWANDA CITY,Ohio,OH ,Talawanda City,3904615,15137,1-Regular local school district that is NOT a component of a supervisory union
TALBOT COUNTY,Georgia,GA ,Talbot County,1304650,21568,1-Regular local school district that is NOT a component of a supervisory union
TALBOT COUNTY PUBLIC SCHOOLS,Maryland,MD ,Talbot County Public Schools,2400630,17252,1-Regular local school district that is NOT a component of a supervisory union
TALIAFERRO COUNTY,Georgia,GA ,Taliaferro County,1304680,–,1-Regular local school district that is NOT a component of a supervisory union
TALIHINA,Oklahoma,OK ,TALIHINA,4029400,13394,1-Regular local school district that is NOT a component of a supervisory union
TALLADEGA CITY,Alabama,AL ,Talladega City,0103150,14046,1-Regular local school district that is NOT a component of a supervisory union
TALLADEGA COUNTY,Alabama,AL ,Talladega County,0103180,13083,1-Regular local school district that is NOT a component of a supervisory union
TALLAPOOSA COUNTY,Alabama,AL ,Tallapoosa County,0103210,16572,1-Regular local school district that is NOT a component of a supervisory union
TALLASSEE CITY,Alabama,AL ,Tallassee City,0103240,17595,1-Regular local school district that is NOT a component of a supervisory union
TALLMADGE CITY,Ohio,OH ,Tallmadge City,3904488,15665,1-Regular local school district that is NOT a component of a supervisory union
TALMADGE PUBLIC SCHOOLS,Maine,ME ,Talmadge Public Schools,2312810,–,1-Regular local school district that is NOT a component of a supervisory union
TALOGA,Oklahoma,OK ,TALOGA,4029430,30598,1-Regular local school district that is NOT a component of a supervisory union
TAMALPAIS UNION HIGH,California,CA ,Tamalpais Union High,0638790,21322,1-Regular local school district that is NOT a component of a supervisory union
TAMAQUA AREA SD,Pennsylvania,PA ,Tamaqua Area SD,4223220,16499,1-Regular local school district that is NOT a component of a supervisory union
TAMAROA SCHOOL DIST 5,Illinois,IL ,Tamaroa School Dist 5,1738550,22269,1-Regular local school district that is NOT a component of a supervisory union
TAMWORTH SCHOOL DISTRICT,New Hampshire,NH ,Tamworth School District,3306600,45546,2-Local school district that is a component of a supervisory union
TANANA CITY SCHOOL DISTRICT,Alaska,AK ,Tanana City School District,0200715,53077,1-Regular local school district that is NOT a component of a supervisory union
TANEYVILLE R-II,Missouri,MO ,TANEYVILLE R-II,2929910,22940,1-Regular local school district that is NOT a component of a supervisory union
TANGIPAHOA PARISH,Louisiana,LA ,Tangipahoa Parish,2201680,13701,1-Regular local school district that is NOT a component of a supervisory union
TANNEHILL,Oklahoma,OK ,TANNEHILL,4029520,18081,1-Regular local school district that is NOT a component of a supervisory union
TANQUE VERDE UNIFIED DISTRICT (4408),Arizona,AZ ,Tanque Verde Unified District (4408),0408280,18731,1-Regular local school district that is NOT a component of a supervisory union
TANTASQUA,Massachusetts,MA ,Tantasqua,2511490,18214,1-Regular local school district that is NOT a component of a supervisory union
TAOS MUNICIPAL SCHOOLS,New Mexico,NM ,TAOS MUNICIPAL SCHOOLS,3502520,17490,1-Regular local school district that is NOT a component of a supervisory union
TARGET RANGE ELEM,Montana,MT ,Target Range Elem,3025890,11023,1-Regular local school district that is NOT a component of a supervisory union
TARKINGTON ISD,Texas,TX ,TARKINGTON ISD,4842210,11787,1-Regular local school district that is NOT a component of a supervisory union
TARKIO R-I,Missouri,MO ,TARKIO R-I,2929940,16003,1-Regular local school district that is NOT a component of a supervisory union
TARRANT CITY,Alabama,AL ,Tarrant City,0103270,14168,1-Regular local school district that is NOT a component of a supervisory union
TATE CO SCHOOL DIST,Mississippi,MS ,TATE CO SCHOOL DIST,2804230,10870,1-Regular local school district that is NOT a component of a supervisory union
TATTNALL COUNTY,Georgia,GA ,Tattnall County,1304770,20074,1-Regular local school district that is NOT a component of a supervisory union
TATUM ISD,Texas,TX ,TATUM ISD,4842240,13734,1-Regular local school district that is NOT a component of a supervisory union
TATUM MUNICIPAL SCHOOLS,New Mexico,NM ,TATUM MUNICIPAL SCHOOLS,3502550,18006,1-Regular local school district that is NOT a component of a supervisory union
TAUNTON,Massachusetts,MA ,Taunton,2511520,25188,1-Regular local school district that is NOT a component of a supervisory union
TAWAS AREA SCHOOLS,Michigan,MI ,Tawas Area Schools,2633510,12615,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR,Florida,FL ,TAYLOR,1201860,14814,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR COMMUNITY SCHOOL CORP,Indiana,IN ,Taylor Community School Corp,1811250,12508,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR COUNTY,Georgia,GA ,Taylor County,1304800,24360,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR COUNTY,Kentucky,KY ,Taylor County,2105520,14244,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR COUNTY SCHOOLS,West Virginia,WV ,TAYLOR COUNTY SCHOOLS,5401380,13091,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR ISD,Texas,TX ,TAYLOR ISD,4842280,13975,1-Regular local school district that is NOT a component of a supervisory union
TAYLOR SCHOOL DISTRICT,Michigan,MI ,Taylor School District,2633540,16668,1-Regular local school district that is NOT a component of a supervisory union
TAYLORVILLE CUSD 3,Illinois,IL ,Taylorville CUSD 3,1738700,16323,1-Regular local school district that is NOT a component of a supervisory union
